"","X","V1","V2","V3","uphamName"
"298",298,"HLodoHem1","GCA_004115125.1","Odocoileus hemionus hemionus","Odocoileus_hemionus_hemionus"
"299",299,"HLodoVir2","DNA Zoo Consortium","Odocoileus virginianus","Odocoileus_virginianus"
"300",300,"HLodoVir3","GCA_014726795.1","Odocoileus virginianus","Odocoileus_virginianus"
"301",301,"HLodoVir1","GCF_002102435.1","Odocoileus virginianus texanus","Odocoileus_virginianus_texanus"
"302",302,"HLokaJoh2","DNA Zoo Consortium","Okapia johnstoni","Okapia_johnstoni"
"303",303,"HLondZib1","GCA_004026605.1","Ondatra zibethicus","Ondatra_zibethicus"
"304",304,"HLonyTor1","GCA_903995425.1","Onychomys torridus","Onychomys_torridus"
"305",305,"orcOrc1","GCF_000331955.2","Orcinus orca","Orcinus_orca"
"306",306,"HLoreAme1","GCA_009758055.1","Oreamnos americanus","Oreamnos_americanus"
"307",307,"HLoreOre1","GCA_006410675.1","Oreotragus oreotragus","Oreotragus_oreotragus"
"308",308,"HLornAna3","GCA_004115215.1","Ornithorhynchus anatinus","Ornithorhynchus_anatinus"
"309",309,"oryAfe1","GCF_000298275.1","Orycteropus afer afer","Orycteropus_afer_afer"
"310",310,"HLoryCun3","GCA_009806435.1","Oryctolagus cuniculus","Oryctolagus_cuniculus"
"311",311,"oryCun2","GCF_000003625.2","Oryctolagus cuniculus","Oryctolagus_cuniculus"
"312",312,"HLoryCunCun4","GCA_013371645.1","Oryctolagus cuniculus cuniculus","Oryctolagus_cuniculus_cuniculus"
"313",313,"HLoryDam1","DNA Zoo Consortium","Oryx dammah","Oryx_dammah"
"314",314,"HLoryGaz1","GCA_003945745.1","Oryx gazella","Oryx_gazella"
"315",315,"HLospRuf1","DNA Zoo Consortium","Osphranter rufus","Osphranter_rufus"
"316",316,"otoGar3","GCF_000181295.1","Otolemur garnettii","Otolemur_garnettii"
"317",317,"HLoviAmm1","GCA_003121645.1","Ovis ammon","Ovis_ammon"
"318",318,"HLoviAri5","GCA_011170295.1","Ovis aries","Ovis_aries"
"319",319,"HLoviCan2","GCA_004026945.1","Ovis canadensis","Ovis_canadensis"
"320",320,"HLoviCan1","GCA_001039535.1","Ovis canadensis canadensis","Ovis_canadensis_canadensis"
"321",321,"HLoviNivLyd1","GCA_903231385.1","Ovis nivicola lydekkeri","Ovis_nivicola_lydekkeri"
"322",322,"HLoviOri1","GCA_014523465.1","Ovis orientalis","Ovis_orientalis"
"323",323,"panPan3","GCF_013052645.1","Pan paniscus","Pan_paniscus"
"324",324,"panTro6","GCF_002880755.1","Pan troglodytes","Pan_troglodytes"
"325",325,"HLpanLeo1","GCA_008795835.1","Panthera leo","Panthera_leo"
"326",326,"HLpanOnc1","GCA_004023805.1","Panthera onca","Panthera_onca"
"327",327,"HLpanOnc2","DNA Zoo Consortium","Panthera onca","Panthera_onca"
"328",328,"HLpanPar1","GCF_001857705.1","Panthera pardus","Panthera_pardus"
"329",329,"panTig1","GCF_000464555.1","Panthera tigris altaica","Panthera_tigris_altaica"
"330",330,"panHod1","GCF_000400835.1","Pantholops hodgsonii","Pantholops_hodgsonii"
"331",331,"HLpapAnu5","GCF_008728515.1","Papio anubis","Papio_anubis"
"332",332,"HLparHer1","GCA_004024585.1","Paradoxurus hermaphroditus","Paradoxurus_hermaphroditus"
"333",333,"HLpedCap1","GCA_007922755.1","Pedetes capensis","Pedetes_capensis"
"334",334,"HLpepEle1","DNA Zoo Consortium","Peponocephala electra","Peponocephala_electra"
"335",335,"HLperLonPac1","GCA_004363475.1","Perognathus longimembris pacificus","Perognathus_longimembris_pacificus"
"336",336,"HLperCal2","GCA_007827085.2","Peromyscus californicus insignis","Peromyscus_californicus_insignis"
"337",337,"HLperCri1","DNA Zoo Consortium","Peromyscus crinitus","Peromyscus_crinitus"
"338",338,"HLperEre1","GCA_902702925.1","Peromyscus eremicus","Peromyscus_eremicus"
"339",339,"HLperLeu1","GCF_004664715.1","Peromyscus leucopus","Peromyscus_leucopus"
"340",340,"HLperManBai2","GCA_003704035.1","Peromyscus maniculatus bairdii","Peromyscus_maniculatus_bairdii"
"341",341,"HLperNas1","DNA Zoo Consortium","Peromyscus nasutus","Peromyscus_nasutus"
"342",342,"HLperPol1","GCA_003704135.2","Peromyscus polionotus subgriseus","Peromyscus_polionotus_subgriseus"
"343",343,"HLpetTyp1","GCA_004026965.1","Petromus typicus","Petromus_typicus"
"344",344,"HLphaGym1","DNA Zoo Consortium","Phalanger gymnotis","Phalanger_gymnotis"
"345",345,"HLphaCin1","GCF_002099425.1","Phascolarctos cinereus","Phascolarctos_cinereus"
"346",346,"HLphaTri2","DNA Zoo Consortium","Phataginus tricuspis","Phataginus_tricuspis"
"347",347,"HLphiMax1","GCA_006410695.1","Philantomba maxwellii","Philantomba_maxwellii"
"348",348,"HLphoVit1","GCF_004348235.1","Phoca vitulina","Phoca_vitulina"
"349",349,"HLphoPho1","GCA_004363495.1","Phocoena phocoena","Phocoena_phocoena"
"350",350,"HLphoPho2","DNA Zoo Consortium","Phocoena phocoena","Phocoena_phocoena"
"351",351,"HLphoSin1","GCF_008692025.1","Phocoena sinus","Phocoena_sinus"
"352",352,"HLphyDis3","Bat1K","Phyllostomus discolor","Phyllostomus_discolor"
"353",353,"HLphyCat2","GCF_002837175.2","Physeter catodon","Physeter_catodon"
"354",354,"phyCat1","GCF_000472045.1","Physeter catodon","Physeter_catodon"
"355",355,"HLpilTep2","GCF_002776525.3","Piliocolobus tephrosceles","Piliocolobus_tephrosceles"
"356",356,"HLpipKuh2","Bat1K","Pipistrellus kuhlii","Pipistrellus_kuhlii"
"357",357,"HLpipPip1","GCA_004026625.1","Pipistrellus pipistrellus","Pipistrellus_pipistrellus"
"358",358,"HLpipPip2","GCA_903992545.1","Pipistrellus pipistrellus","Pipistrellus_pipistrellus"
"359",359,"HLpitPit1","GCA_004026645.1","Pithecia pithecia","Pithecia_pithecia"
"360",360,"HLplaMin1","GCA_004363435.1","Platanista minor","Platanista_minor"
"361",361,"HLpleDon1","GCA_004027715.1","Plecturocebus donacophilus","Plecturocebus_donacophilus"
"362",362,"ponAbe3","GCF_002880775.1","Pongo abelii","Pongo_abelii"
"363",363,"HLponBla1","GCA_011754075.1","Pontoporia blainvillei","Pontoporia_blainvillei"
"364",364,"HLpotFla1","DNA Zoo Consortium","Potos flavus","Potos_flavus"
"365",365,"HLpriBen1","GCA_005406085.1","Prionailurus bengalensis euptilurus","Prionailurus_bengalensis_euptilurus"
"366",366,"HLproPrz1","GCA_006410515.1","Procapra przewalskii","Procapra_przewalskii"
"367",367,"HLproCap3","GCA_004026925.2","Procavia capensis","Procavia_capensis"
"368",368,"HLproLot1","DNA Zoo Consortium","Procyon lotor","Procyon_lotor"
"369",369,"HLproSim1","GCA_003258685.1","Prolemur simus","Prolemur_simus"
"370",370,"proCoq1","GCF_000956105.1","Propithecus coquereli","Propithecus_coquereli"
"371",371,"HLprzAlb1","GCA_006408465.1","Przewalskium albirostris","Przewalskium_albirostris"
"372",372,"HLpsaObe1","GCA_002215935.2","Psammomys obesus","Psammomys_obesus"
"373",373,"HLpseOcc1","DNA Zoo Consortium","Pseudocheirus occidentalis","Pseudocheirus_occidentalis"
"374",374,"HLpseCor1","DNA Zoo Consortium","Pseudochirops corinnae","Pseudochirops_corinnae"
"375",375,"HLpseCup1","DNA Zoo Consortium","Pseudochirops cupreus","Pseudochirops_cupreus"
"376",376,"ptePar1","GCA_000465405.1","Pteronotus parnellii","Pteronotus_parnellii"
"377",377,"HLpteBra1","GCA_004024605.1","Pteronura brasiliensis","Pteronura_brasiliensis"
"378",378,"HLpteBra2","DNA Zoo Consortium","Pteronura brasiliensis","Pteronura_brasiliensis"
"379",379,"pteAle1","GCF_000325575.1","Pteropus alecto","Pteropus_alecto"
"380",380,"HLpteGig1","GCA_902729225.1","Pteropus giganteus","Pteropus_giganteus"
"381",381,"HLptePse1","GCA_014363405.1","Pteropus pselaphon","Pteropus_pselaphon"
"382",382,"HLpteRuf1","DNA Zoo Consortium","Pteropus rufus","Pteropus_rufus"
"383",383,"HLpteVam2","GCF_000151845.1","Pteropus vampyrus","Pteropus_vampyrus"
"384",384,"HLpumCon1","GCF_003327715.1","Puma concolor","Puma_concolor"
"385",385,"HLpumYag1","GCA_014898765.1","Puma yagouaroundi","Puma_yagouaroundi"
"386",386,"HLpygNem1","GCA_004024825.1","Pygathrix nemaeus","Pygathrix_nemaeus"
"387",387,"HLranTar1","GCA_004026565.1","Rangifer tarandus","Rangifer_tarandus"
"388",388,"HLranTarGra2","GCA_014898785.1","Rangifer tarandus granti","Rangifer_tarandus_granti"
"389",389,"HLrapCam1","GCA_006410735.1","Raphicerus campestris","Raphicerus_campestris"
"390",390,"HLratNor7","GCA_015227675.1","Rattus norvegicus","Rattus_norvegicus"
"391",391,"rn6","GCF_000001895.5","Rattus norvegicus","Rattus_norvegicus"
"392",392,"HLratRat7","GCF_011064425.1","Rattus rattus","Rattus_rattus"
"393",393,"HLredRed1","GCA_006410935.1","Redunca redunca","Redunca_redunca"
"394",394,"HLrhiUni1","DNA Zoo Consortium","Rhinoceros unicornis","Rhinoceros_unicornis"
"395",395,"HLrhiFer5","Bat1K","Rhinolophus ferrumequinum","Rhinolophus_ferrumequinum"
"396",396,"HLrhiSin1","GCF_001888835.1","Rhinolophus sinicus","Rhinolophus_sinicus"
"397",397,"rhiBie1","GCF_001698545.1","Rhinopithecus bieti","Rhinopithecus_bieti"
"398",398,"HLrhiRox2","GCF_007565055.1","Rhinopithecus roxellana","Rhinopithecus_roxellana"
"399",399,"HLrhiPru1","GCA_009823505.1","Rhizomys pruinosus","Rhizomys_pruinosus"
"400",400,"HLrhoOpi1","GCA_010120015.1","Rhombomys opimus","Rhombomys_opimus"
"401",401,"HLrouAeg4","Bat1K","Rousettus aegyptiacus","Rousettus_aegyptiacus"
"402",402,"HLrouLes1","GCA_015472975.1","Rousettus leschenaultii","Rousettus_leschenaultii"
"403",403,"HLrouMad1","DNA Zoo Consortium","Rousettus madagascariensis","Rousettus_madagascariensis"
"404",404,"HLsagImp1","GCA_004024885.1","Saguinus imperator","Saguinus_imperator"
"405",405,"HLsaiTat1","GCA_004024985.1","Saiga tatarica","Saiga_tatarica"
"406",406,"HLsaiBol1","DNA Zoo Consortium","Saimiri boliviensis","Saimiri_boliviensis"
"407",407,"saiBol1","GCF_000235385.1","Saimiri boliviensis boliviensis","Saimiri_boliviensis_boliviensis"
"408",408,"HLsapApe1","GCF_009761245.1","Sapajus apella","Sapajus_apella"
"409",409,"HLsarHar2","GCF_902635505.1","Sarcophilus harrisii","Sarcophilus_harrisii"
"410",410,"HLscaAqu1","GCA_004024925.1","Scalopus aquaticus","Scalopus_aquaticus"
"411",411,"HLsciCar1","GCA_902686445.1","Sciurus carolinensis","Sciurus_carolinensis"
"412",412,"HLsciVul1","GCA_902686455.1","Sciurus vulgaris","Sciurus_vulgaris"
"413",413,"HLsemEnt1","GCA_004025065.1","Semnopithecus entellus","Semnopithecus_entellus"
"414",414,"HLsigHis1","GCA_004025045.1","Sigmodon hispidus","Sigmodon_hispidus"
"415",415,"HLsolPar1","GCA_004363575.1","Solenodon paradoxus","Solenodon_paradoxus"
"416",416,"sorAra2","GCF_000181275.1","Sorex araneus","Sorex_araneus"
"417",417,"HLsouChi1","GCA_007760645.1","Sousa chinensis","Sousa_chinensis"
"418",418,"HLspeDau1","GCA_002406435.1","Spermophilus dauricus","Spermophilus_dauricus"
"419",419,"HLspiGra1","GCA_004023965.1","Spilogale gracilis","Spilogale_gracilis"
"420",420,"HLstuHon1","GCA_014824575.1","Sturnira hondurensis","Sturnira_hondurensis"
"421",421,"HLsurSur1","GCF_006229205.1","Suricata suricatta","Suricata_suricatta"
"422",422,"HLsurSur2","GCA_004023905.1","Suricata suricatta","Suricata_suricatta"
"423",423,"susScr11","GCF_000003025.6","Sus scrofa","Sus_scrofa"
"424",424,"HLsylGri1","GCA_006408735.1","Sylvicapra grimmia","Sylvicapra_grimmia"
"425",425,"HLsylBac1","DNA Zoo Consortium","Sylvilagus bachmani","Sylvilagus_bachmani"
"426",426,"HLsynCaf1","GCA_902500845.1","Syncerus caffer","Syncerus_caffer"
"427",427,"HLtacAcu1","GCA_015852505.1","Tachyglossus aculeatus","Tachyglossus_aculeatus"
"428",428,"HLtadBra1","GCA_004025005.1","Tadarida brasiliensis","Tadarida_brasiliensis"
"429",429,"HLtalOcc1","GCA_014898055.1","Talpa occidentalis","Talpa_occidentalis"
"430",430,"HLtamTet1","GCA_004025105.1","Tamandua tetradactyla","Tamandua_tetradactyla"
"431",431,"HLtapInd1","GCA_004024905.1","Tapirus indicus","Tapirus_indicus"
"432",432,"HLtapInd2","DNA Zoo Consortium","Tapirus indicus","Tapirus_indicus"
"433",433,"HLtapTer1","GCA_004025025.1","Tapirus terrestris","Tapirus_terrestris"
"434",434,"HLtaxTax1","GCA_003697995.1","Taxidea taxus jeffersonii","Taxidea_taxus_jeffersonii"
"435",435,"HLtheGel1","GCF_003255815.1","Theropithecus gelada","Theropithecus_gelada"
"436",436,"HLthrSwi1","GCA_004025085.1","Thryonomys swinderianus","Thryonomys_swinderianus"
"437",437,"HLthyCyn1","GCA_007646695.1","Thylacinus cynocephalus","Thylacinus_cynocephalus"
"438",438,"HLtolMat1","GCA_004025125.1","Tolypeutes matacus","Tolypeutes_matacus"
"439",439,"HLtonSau1","GCA_004024845.1","Tonatia saurophila","Tonatia_saurophila"
"440",440,"HLtraFra1","GCF_009764315.1","Trachypithecus francoisi","Trachypithecus_francoisi"
"441",441,"HLtraImb1","GCA_006410775.1","Tragelaphus imberbis","Tragelaphus_imberbis"
"442",442,"HLtraScr1","GCA_006410495.1","Tragelaphus scriptus","Tragelaphus_scriptus"
"443",443,"HLtraStr1","GCA_006410795.1","Tragelaphus strepsiceros","Tragelaphus_strepsiceros"
"444",444,"HLtraJav1","GCA_004024965.2","Tragulus javanicus","Tragulus_javanicus"
"445",445,"HLtraKan1","GCA_006408655.1","Tragulus kanchil","Tragulus_kanchil"
"446",446,"triMan1","GCF_000243295.1","Trichechus manatus latirostris","Trichechus_manatus_latirostris"
"447",447,"HLtriVul1","GCA_011100635.1","Trichosurus vulpecula","Trichosurus_vulpecula"
"448",448,"tupBel1","GCA_000181375.1","Tupaia belangeri","Tupaia_belangeri"
"449",449,"tupChi1","GCF_000334495.1","Tupaia chinensis","Tupaia_chinensis"
"450",450,"HLturAdu1","GCA_003227395.1","Tursiops aduncus","Tursiops_aduncus"
"451",451,"HLturAdu2","DNA Zoo Consortium","Tursiops aduncus","Tursiops_aduncus"
"452",452,"HLturTru3","GCF_001922835.1","Tursiops truncatus","Tursiops_truncatus"
"453",453,"HLturTru4","GCF_011762595.1","Tursiops truncatus","Tursiops_truncatus"
"454",454,"turTru2","GCF_000151865.1","Tursiops truncatus","Tursiops_truncatus"
"455",455,"HLuroPar1","GCF_003426925.1","Urocitellus parryii","Urocitellus_parryii"
"456",456,"HLuroGra1","GCA_004024945.1","Uropsilus gracilis","Uropsilus_gracilis"
"457",457,"HLursAme1","GCA_003344425.1","Ursus americanus","Ursus_americanus"
"458",458,"HLursAme2","DNA Zoo Consortium","Ursus americanus","Ursus_americanus"
"459",459,"HLursArc1","GCF_003584765.1","Ursus arctos horribilis","Ursus_arctos_horribilis"
"460",460,"ursMar1","GCF_000687225.1","Ursus maritimus","Ursus_maritimus"
"461",461,"HLursThi1","GCA_009660055.1","Ursus thibetanus thibetanus","Ursus_thibetanus_thibetanus"
"462",462,"vicPac2","GCF_000164845.1","Vicugna pacos","Vicugna_pacos"
"463",463,"HLvicPacHua3","GCA_000767525.1","Vicugna pacos huacaya","Vicugna_pacos_huacaya"
"464",464,"HLvicVicMen1","GCA_013265495.1","Vicugna vicugna mensalis","Vicugna_vicugna_mensalis"
"465",465,"HLvomUrs1","GCF_900497805.2","Vombatus ursinus","Vombatus_ursinus"
"466",466,"HLvulLag1","GCA_004023825.1","Vulpes lagopus","Vulpes_lagopus"
"467",467,"HLvulVul1","GCF_003160815.1","Vulpes vulpes","Vulpes_vulpes"
"468",468,"HLxerIna1","GCA_004024805.1","Xerus inauris","Xerus_inauris"
"469",469,"HLzalCal1","GCA_009762305.1","Zalophus californianus","Zalophus_californianus"
"470",470,"HLzapHud1","GCA_004024765.1","Zapus hudsonius","Zapus_hudsonius"
"471",471,"HLzipCav1","GCA_004364475.1","Ziphius cavirostris","Ziphius_cavirostris"
